172.23.72.224;2022-12-16 11:13:18.297207;-20.482748191;-43.916584552
172.23.72.224;2022-12-16 11:13:48.599953;-20.482747968;-43.916584428
172.23.72.224;2022-12-16 11:14:18.796928;-20.482742286;-43.916587511
172.23.72.224;2022-12-16 11:14:49.198374;-20.482740225;-43.916589419
172.23.72.224;2022-12-16 11:15:19.319716;-20.482738144;-43.916590946
172.23.72.224;2022-12-16 11:15:49.522034;-20.482738200;-43.916590036
172.23.72.224;2022-12-16 11:16:19.794663;-20.482739499;-43.916587166
172.23.72.224;2022-12-16 11:16:50.102842;-20.482741747;-43.916584338
172.23.72.224;2022-12-16 11:18:20.779567;-20.482724541;-43.916604801
172.23.72.224;2022-12-16 11:18:22.095131;-20.482722522;-43.916606357
172.23.72.224;2022-12-16 11:18:25.167256;-20.482719181;-43.916608969
172.23.72.224;2022-12-16 11:21:00.808072;Erro;Erro;
172.23.72.224;2022-12-16 11:21:31.512122;Erro;Erro;
172.23.72.224;2022-12-16 11:22:02.236213;Erro;Erro;
172.23.72.224;2022-12-16 11:22:32.952222;Erro;Erro;
172.23.72.224;2022-12-16 11:23:01.636181;Erro;Erro;
172.23.72.224;2022-12-16 11:23:32.356080;Erro;Erro;
172.23.72.224;2022-12-16 11:24:03.072136;Erro;Erro;
172.23.72.224;2022-12-16 11:24:33.784190;Erro;Erro;
172.23.72.224;2022-12-16 11:25:02.456137;Erro;Erro;
172.23.72.224;2022-12-16 11:25:24.456646;-20.482727705;-43.916588313
172.23.72.224;2022-12-16 11:25:25.780193;-20.482727768;-43.916587707
172.23.72.224;2022-12-16 11:25:29.104654;-20.482727732;-43.916586785
172.23.72.224;2022-12-16 11:25:33.188160;Erro;Erro;
172.23.72.224;2022-12-16 11:25:54.728747;-20.482743958;-43.916579287
172.23.72.224;2022-12-16 11:26:03.900260;Erro;Erro;
172.23.72.224;2022-12-16 11:26:24.987955;-20.482743673;-43.916579509
172.23.72.224;2022-12-16 11:26:55.189032;-20.482742814;-43.916579779
172.23.72.224;2022-12-16 11:27:25.496255;-20.482745238;-43.916575353
172.23.72.224;2022-12-16 11:27:55.721440;-20.482742890;-43.916578125
172.23.72.224;2022-12-16 11:28:25.969775;-20.482744691;-43.916576118
172.23.72.224;2022-12-16 11:28:56.206350;-20.482742920;-43.916579176
172.23.72.224;2022-12-16 11:29:26.504789;-20.482741591;-43.916582851
