172.23.72.144;2022-12-16 10:58:10.644608;-20.461722272;-43.932466525
172.23.72.144;2022-12-16 10:58:40.773714;-20.463716746;-43.932899937
172.23.72.144;2022-12-16 10:59:11.102901;-20.465810105;-43.932512546
172.23.72.144;2022-12-16 10:59:41.299003;-20.467823186;-43.932478979
172.23.72.144;2022-12-16 11:00:11.592484;-20.467204446;-43.930764250
172.23.72.144;2022-12-16 11:00:41.876099;-20.465270425;-43.929826248
172.23.72.144;2022-12-16 11:01:12.248987;-20.463384629;-43.928785616
172.23.72.144;2022-12-16 11:01:42.299798;-20.461719529;-43.927466364
172.23.72.144;2022-12-16 11:02:12.706352;-20.461307416;-43.925340113
172.23.72.144;2022-12-16 11:02:42.930009;-20.462522272;-43.925436013
172.23.72.144;2022-12-16 11:03:13.338018;-20.464026173;-43.925967883
172.23.72.144;2022-12-16 11:03:43.785471;-20.465569628;-43.926248055
172.23.72.144;2022-12-16 11:04:14.899168;-20.466433486;-43.925133129
172.23.72.144;2022-12-16 11:04:44.071784;-20.466674479;-43.923781764
172.23.72.144;2022-12-16 11:05:13.977522;-20.467782568;-43.923563919
172.23.72.144;2022-12-16 11:05:44.317138;-20.468961483;-43.923590986
172.23.72.144;2022-12-16 11:06:14.433745;-20.470064726;-43.923622669
172.23.72.144;2022-12-16 11:06:45.012670;-20.471347559;-43.923776658
172.23.72.144;2022-12-16 11:07:15.137177;-20.473169092;-43.923704962
172.23.72.144;2022-12-16 11:07:45.364769;-20.474642124;-43.922850476
172.23.72.144;2022-12-16 11:08:15.699144;-20.475135918;-43.920944102
172.23.72.144;2022-12-16 11:08:45.899624;-20.474904008;-43.919611683
172.23.72.144;2022-12-16 11:09:16.148180;-20.475301383;-43.919500644
172.23.72.144;2022-12-16 11:09:46.644338;-20.475895172;-43.919007562
172.23.72.144;2022-12-16 11:10:16.704854;-20.475711507;-43.918938305
172.23.72.144;2022-12-16 11:10:47.035577;-20.475693195;-43.918908730
172.23.72.144;2022-12-16 11:11:17.229742;-20.475717284;-43.918955617
172.23.72.144;2022-12-16 11:11:47.629303;-20.475477210;-43.919431401
172.23.72.144;2022-12-16 11:12:17.600037;-20.474635564;-43.920185239
172.23.72.144;2022-12-16 11:12:48.414363;-20.474952985;-43.922390556
172.23.72.144;2022-12-16 11:13:18.138065;-20.472974478;-43.923680791
172.23.72.144;2022-12-16 11:13:48.540627;-20.472040182;-43.923709781
172.23.72.144;2022-12-16 11:14:18.704354;-20.470961423;-43.923639821
172.23.72.144;2022-12-16 11:14:49.172889;-20.470242420;-43.923568224
172.23.72.144;2022-12-16 11:15:19.280186;-20.469546843;-43.923514565
172.23.72.144;2022-12-16 11:15:49.508977;-20.468847375;-43.923496128
172.23.72.144;2022-12-16 11:16:19.929968;-20.468132344;-43.923495659
172.23.72.144;2022-12-16 11:16:50.096992;-20.467391286;-43.923460190
172.23.72.144;2022-12-16 11:17:20.234700;-20.466567815;-43.923617609
172.23.72.144;2022-12-16 11:17:50.579552;-20.468329256;-43.924866248
172.23.72.144;2022-12-16 11:18:20.807026;-20.469616203;-43.926759601
172.23.72.144;2022-12-16 11:18:51.401883;-20.470629008;-43.928417858
172.23.72.144;2022-12-16 11:19:21.387873;-20.472191092;-43.929725034
172.23.72.144;2022-12-16 11:19:51.446793;-20.473516791;-43.930946815
172.23.72.144;2022-12-16 11:20:21.809577;-20.471789012;-43.932296808
172.23.72.144;2022-12-16 11:20:52.051074;-20.469114928;-43.932387550
172.23.72.144;2022-12-16 11:21:22.430816;-20.468038894;-43.931680959
172.23.72.144;2022-12-16 11:21:52.709871;-20.468798324;-43.931446254
172.23.72.144;2022-12-16 11:24:33.796228;Erro;Erro;
172.23.72.144;2022-12-16 11:25:02.480116;Erro;Erro;
172.23.72.144;2022-12-16 11:25:33.176141;Erro;Erro;
