172.23.72.154;2022-12-16 11:29:26.453779;-20.477439720;-43.918910297
172.23.72.154;2022-12-16 11:29:56.921177;-20.477438287;-43.918912422
172.23.72.154;2022-12-16 11:30:26.997452;-20.477437810;-43.918914859
172.23.72.154;2022-12-16 11:30:57.255804;-20.477438090;-43.918915660
172.23.72.154;2022-12-16 11:31:27.573375;-20.476820299;-43.919196588
172.23.72.154;2022-12-16 11:31:57.716416;-20.475095315;-43.920056988
172.23.72.154;2022-12-16 11:32:27.927767;-20.475045718;-43.921007633
172.23.72.154;2022-12-16 11:32:58.195860;-20.473992835;-43.923244227
172.23.72.154;2022-12-16 11:33:28.500147;-20.472134807;-43.923727317
172.23.72.154;2022-12-16 11:33:58.767646;-20.469989873;-43.923531515
172.23.72.154;2022-12-16 11:34:28.842069;-20.468347435;-43.923503101
172.23.72.154;2022-12-16 11:34:59.232987;-20.466687623;-43.923528426
172.23.72.154;2022-12-16 11:35:29.676422;-20.466329173;-43.925506522
172.23.72.154;2022-12-16 11:35:59.829800;-20.464728681;-43.926064398
172.23.72.154;2022-12-16 11:36:29.961099;-20.462522401;-43.925297741
172.23.72.154;2022-12-16 11:37:00.302209;-20.459843069;-43.924695776
172.23.72.154;2022-12-16 11:37:30.406966;-20.457354602;-43.923361533
172.23.72.154;2022-12-16 11:38:00.861072;-20.456809911;-43.922909192
172.23.72.154;2022-12-16 11:38:31.293847;-20.456348801;-43.922862449
172.23.72.154;2022-12-16 11:39:01.368644;-20.454637416;-43.923339385
172.23.72.154;2022-12-16 11:39:31.601792;-20.455241290;-43.924897840
172.23.72.154;2022-12-16 11:40:01.812347;-20.456540967;-43.925085045
172.23.72.154;2022-12-16 11:40:32.406632;-20.456582259;-43.925032066
172.23.72.154;2022-12-16 11:41:02.476816;-20.456582676;-43.925033505
172.23.72.154;2022-12-16 11:41:32.644314;-20.456583248;-43.925033339
172.23.72.154;2022-12-16 11:42:02.833266;-20.456583739;-43.925033023
172.23.72.154;2022-12-16 11:42:33.209465;-20.456584201;-43.925032407
172.23.72.154;2022-12-16 11:43:03.386747;-20.456583666;-43.925032030
172.23.72.154;2022-12-16 11:43:33.791776;-20.456582724;-43.925032063
172.23.72.154;2022-12-16 11:44:03.964036;-20.456581877;-43.925032118
172.23.72.154;2022-12-16 11:44:34.262316;-20.456581170;-43.925031902
172.23.72.154;2022-12-16 11:45:04.268073;-20.456580646;-43.925031575
172.23.72.154;2022-12-16 11:45:34.666115;-20.456580319;-43.925031266
172.23.72.154;2022-12-16 11:46:04.959542;-20.456580110;-43.925031100
172.23.72.154;2022-12-16 11:46:35.362826;-20.456579945;-43.925031093
172.23.72.154;2022-12-16 11:47:05.432602;-20.456579759;-43.925031174
172.23.72.154;2022-12-16 11:47:35.666255;-20.456579605;-43.925031239
172.23.72.154;2022-12-16 11:48:05.839015;-20.456579466;-43.925031264
172.23.72.154;2022-12-16 11:48:36.210509;-20.456579320;-43.925031245
172.23.72.154;2022-12-16 11:49:06.319856;-20.456579181;-43.925031258
172.23.72.154;2022-12-16 11:49:36.914680;-20.456704783;-43.924953971
172.23.72.154;2022-12-16 11:50:07.080023;-20.456821160;-43.925176773
172.23.72.154;2022-12-16 11:50:37.116180;-20.457083409;-43.925016395
172.23.72.154;2022-12-16 11:51:07.528629;-20.457081902;-43.925016685
172.23.72.154;2022-12-16 11:51:37.630919;-20.457082466;-43.925017370
172.23.72.154;2022-12-16 11:52:07.883616;-20.457082225;-43.925017914
172.23.72.154;2022-12-16 11:52:38.223588;-20.457084748;-43.925017608
172.23.72.154;2022-12-16 11:53:08.429623;-20.457088457;-43.925015258
172.23.72.154;2022-12-16 11:53:38.748402;-20.457090735;-43.925014685
172.23.72.154;2022-12-16 11:54:08.885167;-20.457092637;-43.925015674
172.23.72.154;2022-12-16 11:54:39.339930;-20.457092551;-43.925015086
172.23.72.154;2022-12-16 11:55:09.557918;-20.457092452;-43.925015498
172.23.72.154;2022-12-16 11:55:39.784786;-20.457092347;-43.925015956
172.23.72.154;2022-12-16 11:56:10.040629;-20.456822656;-43.925109972
172.23.72.154;2022-12-16 11:56:40.248428;-20.455342916;-43.925039287
