172.23.72.184;2022-12-15 10:26:02.488061;Erro;Erro;
172.23.72.184;2022-12-16 09:39:53.779452;-20.478675440;-43.937756704
172.23.72.184;2022-12-16 10:44:33.792683;-20.479169759;-43.934283744
172.23.72.184;2022-12-16 10:45:04.065302;-20.479171101;-43.934283044
172.23.72.184;2022-12-16 10:45:34.317576;-20.479172332;-43.934282494
172.23.72.184;2022-12-16 10:46:04.584826;-20.479173535;-43.934282229
172.23.72.184;2022-12-16 10:46:34.786618;-20.479174543;-43.934282165
172.23.72.184;2022-12-16 10:47:05.067305;-20.479175265;-43.934282019
172.23.72.184;2022-12-16 10:47:35.321880;-20.479175638;-43.934281512
172.23.72.184;2022-12-16 10:48:05.679246;-20.479175895;-43.934281062
172.23.72.184;2022-12-16 10:48:35.765622;-20.479176119;-43.934280649
172.23.72.184;2022-12-16 10:49:06.098285;-20.479176315;-43.934280205
172.23.72.184;2022-12-16 10:49:36.409679;-20.479176473;-43.934279761
172.23.72.184;2022-12-16 10:50:06.576641;-20.479176610;-43.934279356
172.23.72.184;2022-12-16 10:50:36.762296;-20.479176754;-43.934278987
172.23.72.184;2022-12-16 10:51:07.013226;-20.479176914;-43.934278691
172.23.72.184;2022-12-16 10:51:37.401319;-20.479177055;-43.934278457
172.23.72.184;2022-12-16 10:52:07.495236;-20.479177132;-43.934278339
172.23.72.184;2022-12-16 10:52:37.717598;-20.479177223;-43.934278436
172.23.72.184;2022-12-16 10:53:07.957556;-20.479177359;-43.934278527
172.23.72.184;2022-12-16 10:53:38.285958;-20.479177423;-43.934278536
172.23.72.184;2022-12-16 10:54:08.481862;-20.479177373;-43.934278496
172.23.72.184;2022-12-16 10:54:38.745783;-20.479177202;-43.934278403
172.23.72.184;2022-12-16 10:55:08.929345;-20.479176967;-43.934278287
172.23.72.184;2022-12-16 10:55:39.199564;-20.479176803;-43.934278187
172.23.72.184;2022-12-16 10:56:09.477987;-20.479176787;-43.934278130
172.23.72.184;2022-12-16 10:56:39.885434;-20.479176895;-43.934278112
172.23.72.184;2022-12-16 10:57:09.925447;-20.479177017;-43.934278080
172.23.72.184;2022-12-16 10:57:40.290855;-20.479176358;-43.934278527
172.23.72.184;2022-12-16 10:58:10.611468;-20.479175570;-43.934278876
172.23.72.184;2022-12-16 11:00:11.576892;-20.479174897;-43.934280208
172.23.72.184;2022-12-16 11:00:12.814320;-20.479175113;-43.934280125
172.23.72.184;2022-12-16 11:00:15.696423;-20.479175711;-43.934279805
172.23.72.184;2022-12-16 11:00:41.885685;-20.478846822;-43.934622852
172.23.72.184;2022-12-16 11:00:50.432129;Erro;Erro;
172.23.72.184;2022-12-16 11:01:12.198774;-20.478885634;-43.936180562
172.23.72.184;2022-12-16 11:01:42.402249;-20.478460639;-43.935559506
172.23.72.184;2022-12-16 11:02:12.774316;-20.478201741;-43.933212280
172.23.72.184;2022-12-16 11:02:42.939008;-20.479240279;-43.930392136
172.23.72.184;2022-12-16 11:03:13.240597;-20.477036825;-43.928821425
172.23.72.184;2022-12-16 11:03:43.731827;-20.474703887;-43.927066014
172.23.72.184;2022-12-16 11:04:14.880912;-20.472245244;-43.925747478
172.23.72.184;2022-12-16 11:04:43.955002;-20.472750754;-43.923853138
172.23.72.184;2022-12-16 11:05:14.134239;-20.474201659;-43.923209225
172.23.72.184;2022-12-16 11:05:44.390912;-20.475236087;-43.921148410
172.23.72.184;2022-12-16 11:06:14.627749;-20.474126651;-43.919411934
172.23.72.184;2022-12-16 11:06:45.011809;-20.473204953;-43.918106794
172.23.72.184;2022-12-16 11:07:15.231113;-20.472906309;-43.920307044
172.23.72.184;2022-12-16 11:07:45.440556;-20.469704543;-43.920831820
172.23.72.184;2022-12-16 11:08:15.716508;-20.469497163;-43.919599463
172.23.72.184;2022-12-16 11:08:45.961051;-20.471017197;-43.918936892
172.23.72.184;2022-12-16 11:09:16.213411;-20.471122755;-43.918926368
172.23.72.184;2022-12-16 11:09:46.700569;-20.471123646;-43.918927091
172.23.72.184;2022-12-16 11:10:16.769769;-20.471124155;-43.918927730
172.23.72.184;2022-12-16 11:10:47.114072;-20.471124540;-43.918928150
172.23.72.184;2022-12-16 11:11:17.577779;-20.471124806;-43.918928523
172.23.72.184;2022-12-16 11:11:47.705302;-20.471125006;-43.918928873
172.23.72.184;2022-12-16 11:12:17.811350;-20.471125058;-43.918929084
172.23.72.184;2022-12-16 11:12:48.020322;-20.471524770;-43.918831270
172.23.72.184;2022-12-16 11:13:18.256289;-20.471524168;-43.918830432
172.23.72.184;2022-12-16 11:13:48.574528;-20.471524081;-43.918830252
172.23.72.184;2022-12-16 11:14:18.741517;-20.471524055;-43.918830061
172.23.72.184;2022-12-16 11:14:49.290050;-20.471523972;-43.918829855
172.23.72.184;2022-12-16 11:15:19.338040;-20.471523779;-43.918829659
172.23.72.184;2022-12-16 11:15:49.596069;-20.471525338;-43.919043389
172.23.72.184;2022-12-16 11:16:20.022325;-20.471421979;-43.919047293
172.23.72.184;2022-12-16 11:16:50.095479;-20.471659586;-43.919043350
172.23.72.184;2022-12-16 11:17:20.432521;-20.471658181;-43.919042943
172.23.72.184;2022-12-16 11:17:50.576112;-20.471657404;-43.919042423
172.23.72.184;2022-12-16 11:18:20.814959;-20.471658932;-43.919043323
172.23.72.184;2022-12-16 11:18:51.056761;-20.471660154;-43.919043775
172.23.72.184;2022-12-16 11:19:21.345998;-20.471472161;-43.919058532
172.23.72.184;2022-12-16 11:19:51.585834;-20.470175030;-43.919432860
172.23.72.184;2022-12-16 11:20:22.078043;-20.469071707;-43.919610542
172.23.72.184;2022-12-16 11:20:52.238232;-20.468266344;-43.919616928
172.23.72.184;2022-12-16 11:21:22.478028;-20.468899375;-43.920738377
172.23.72.184;2022-12-16 11:21:52.779994;-20.471032106;-43.921036723
172.23.72.184;2022-12-16 11:22:23.124090;-20.472939196;-43.920455360
172.23.72.184;2022-12-16 11:22:53.166060;-20.473293183;-43.919466227
172.23.72.184;2022-12-16 11:23:23.552226;-20.473336353;-43.918681335
172.23.72.184;2022-12-16 11:23:53.805168;-20.473271558;-43.917808813
172.23.72.184;2022-12-16 11:24:23.965527;-20.473920723;-43.918008783
172.23.72.184;2022-12-16 11:24:54.290350;-20.473973352;-43.918845550
172.23.72.184;2022-12-16 11:25:24.582353;-20.474100499;-43.919724014
172.23.72.184;2022-12-16 11:25:54.802775;-20.475052550;-43.921044607
172.23.72.184;2022-12-16 11:26:24.978311;-20.474448341;-43.922908700
172.23.72.184;2022-12-16 11:26:55.197266;-20.473629801;-43.923409844
172.23.72.184;2022-12-16 11:27:25.505235;-20.472893409;-43.923698368
172.23.72.184;2022-12-16 11:27:55.756597;-20.472104742;-43.923718795
172.23.72.184;2022-12-16 11:28:26.042732;-20.471046656;-43.923640285
172.23.72.184;2022-12-16 11:28:56.298811;-20.470299284;-43.923563886
172.23.72.184;2022-12-16 11:29:26.624111;-20.469634600;-43.923519254
172.23.72.184;2022-12-16 11:29:56.837825;-20.468950402;-43.923488105
172.23.72.184;2022-12-16 11:30:27.023988;-20.468213276;-43.923492875
172.23.72.184;2022-12-16 11:30:57.364652;-20.467575137;-43.923470304
172.23.72.184;2022-12-16 11:31:27.547861;-20.467092306;-43.923448265
172.23.72.184;2022-12-16 11:31:57.793462;-20.466524164;-43.923697123
172.23.72.184;2022-12-16 11:32:27.994494;-20.466404734;-43.924451755
172.23.72.184;2022-12-16 11:32:58.398100;-20.466333213;-43.925296040
172.23.72.184;2022-12-16 11:33:28.574606;-20.465989602;-43.926032206
172.23.72.184;2022-12-16 11:33:58.794766;-20.465206802;-43.926160503
172.23.72.184;2022-12-16 11:34:29.108443;-20.465185449;-43.926797172
172.23.72.184;2022-12-16 11:34:59.308054;-20.466424220;-43.927214880
172.23.72.184;2022-12-16 11:35:29.600703;-20.466488867;-43.927025980
172.23.72.184;2022-12-16 11:35:59.917514;-20.466459795;-43.927024655
172.23.72.184;2022-12-16 11:36:30.045900;-20.466384043;-43.927019693
172.23.72.184;2022-12-16 11:37:00.312566;-20.466384016;-43.927019985
172.23.72.184;2022-12-16 11:37:30.535498;-20.466384615;-43.927019438
172.23.72.184;2022-12-16 11:38:01.058062;-20.465152643;-43.926781813
172.23.72.184;2022-12-16 11:38:32.403289;-20.466035117;-43.926125156
172.23.72.184;2022-12-16 11:39:02.417955;-20.466404620;-43.925262487
172.23.72.184;2022-12-16 11:39:31.772982;-20.466432906;-43.924713633
172.23.72.184;2022-12-16 11:40:01.863268;-20.466806484;-43.923657915
172.23.72.184;2022-12-16 11:40:32.045277;-20.468930992;-43.923602307
172.23.72.184;2022-12-16 11:41:02.497660;-20.471441225;-43.923792128
172.23.72.184;2022-12-16 11:41:32.606770;-20.474048668;-43.923280448
172.23.72.184;2022-12-16 11:42:02.868050;-20.475913298;-43.923673179
172.23.72.184;2022-12-16 11:42:33.272502;-20.477429537;-43.923028952
172.23.72.184;2022-12-16 11:43:03.351072;-20.476890231;-43.922972301
172.23.72.184;2022-12-16 11:43:33.723603;-20.476938190;-43.923123916
172.23.72.184;2022-12-16 11:44:11.181937;0.000000000;0.000000000
172.23.72.184;2022-12-16 11:44:34.208142;-20.476942766;-43.923120742
172.23.72.184;2022-12-16 11:45:04.692838;-20.476944565;-43.923120666
172.23.72.184;2022-12-16 11:45:34.863566;-20.476945868;-43.923120510
172.23.72.184;2022-12-16 11:46:04.957211;-20.476945366;-43.923121170
172.23.72.184;2022-12-16 11:46:35.340140;-20.476945289;-43.923121445
172.23.72.184;2022-12-16 11:47:05.400287;-20.476945622;-43.923121561
172.23.72.184;2022-12-16 11:49:45.232172;Erro;Erro;
172.23.72.184;2022-12-16 11:50:15.944077;Erro;Erro;
172.23.72.184;2022-12-16 11:50:46.656172;Erro;Erro;
172.23.72.184;2022-12-16 11:51:17.368136;Erro;Erro;
172.23.72.184;2022-12-16 11:51:46.052126;Erro;Erro;
172.23.72.184;2022-12-16 11:52:16.760100;Erro;Erro;
172.23.72.184;2022-12-16 11:52:47.492142;Erro;Erro;
172.23.72.184;2022-12-16 11:53:18.208079;Erro;Erro;
172.23.72.184;2022-12-16 11:53:48.920111;Erro;Erro;
172.23.72.184;2022-12-16 11:54:17.600089;Erro;Erro;
172.23.72.184;2022-12-16 11:54:48.312112;Erro;Erro;
172.23.72.184;2022-12-16 11:55:19.032797;Erro;Erro;
172.23.72.184;2022-12-16 11:55:49.752720;Erro;Erro;
172.23.72.184;2022-12-16 11:56:18.432089;Erro;Erro;
172.23.72.184;2022-12-16 11:56:49.144124;Erro;Erro;
172.23.72.184;2022-12-16 11:57:19.872071;Erro;Erro;
172.23.72.184;2022-12-16 11:57:50.592145;Erro;Erro;
172.23.72.184;2022-12-16 11:58:19.272069;Erro;Erro;
172.23.72.184;2022-12-16 11:58:49.976108;Erro;Erro;
172.23.72.184;2022-12-16 11:59:20.712196;Erro;Erro;
172.23.72.184;2022-12-16 11:59:51.420067;Erro;Erro;
172.23.72.184;2022-12-16 12:00:22.140134;Erro;Erro;
172.23.72.184;2022-12-16 12:00:50.812096;Erro;Erro;
172.23.72.184;2022-12-16 12:01:21.532109;Erro;Erro;
172.23.72.184;2022-12-16 12:01:51.516482;0.000000000;0.000000000
172.23.72.184;2022-12-16 12:01:51.519137;0.000000000;0.000000000
172.23.72.184;2022-12-16 12:01:52.248106;Erro;Erro;
172.23.72.184;2022-12-16 12:02:13.124749;-20.476952722;-43.923117828
172.23.72.184;2022-12-16 12:02:22.984078;Erro;Erro;
172.23.72.184;2022-12-16 12:02:43.318444;-20.476952377;-43.923120489
172.23.72.184;2022-12-16 12:02:51.648139;Erro;Erro;
172.23.72.184;2022-12-16 12:03:13.613001;-20.476946429;-43.923121941
172.23.72.184;2022-12-16 12:03:43.871444;-20.476944092;-43.923122483
172.23.72.184;2022-12-16 12:05:49.855439;-20.476926898;-43.923125019
172.23.72.184;2022-12-16 12:05:52.332316;-20.476927884;-43.923125414
172.23.72.184;2022-12-16 12:06:15.190638;-20.476942691;-43.923123214
172.23.72.184;2022-12-16 12:06:18.745515;-20.476942898;-43.923123108
172.23.72.184;2022-12-16 12:06:24.640100;Erro;Erro;
172.23.72.184;2022-12-16 12:06:45.438902;-20.476943309;-43.923123099
172.23.72.184;2022-12-16 12:07:15.820252;-20.476942773;-43.923123623
172.23.72.184;2022-12-16 12:07:46.250336;-20.476942425;-43.923123807
172.23.72.184;2022-12-16 12:08:16.148257;-20.476942096;-43.923124204
172.23.72.184;2022-12-16 12:08:46.538802;-20.476941677;-43.923124497
172.23.72.184;2022-12-16 12:09:16.888157;-20.476941145;-43.923124523
172.23.72.184;2022-12-16 12:09:47.229791;-20.476940788;-43.923124292
172.23.72.184;2022-12-16 12:12:27.136151;Erro;Erro;
172.23.72.184;2022-12-16 12:12:57.860127;Erro;Erro;
172.23.72.184;2022-12-16 12:13:28.586707;Erro;Erro;
172.23.72.184;2022-12-16 12:13:57.256127;Erro;Erro;
172.23.72.184;2022-12-16 12:14:27.984349;Erro;Erro;
172.23.72.184;2022-12-16 12:14:58.684136;Erro;Erro;
172.23.72.184;2022-12-16 12:15:01.175109;0.000000000;0.000000000
172.23.72.184;2022-12-16 12:15:29.420120;Erro;Erro;
172.23.72.184;2022-12-16 12:16:00.128238;Erro;Erro;
172.23.72.184;2022-12-16 12:16:28.804123;Erro;Erro;
172.23.72.184;2022-12-16 12:16:50.813259;-20.476917767;-43.923131190
172.23.72.184;2022-12-16 12:16:51.928819;-20.476917739;-43.923131221
172.23.72.184;2022-12-16 12:16:55.459753;-20.476917644;-43.923131327
172.23.72.184;2022-12-16 12:17:21.002110;-20.476944001;-43.923121171
172.23.72.184;2022-12-16 12:17:30.240083;Erro;Erro;
172.23.72.184;2022-12-16 12:17:51.275567;-20.476943163;-43.923118667
172.23.72.184;2022-12-16 12:18:21.717478;-20.476942461;-43.923120047
172.23.72.184;2022-12-16 12:18:51.785222;-20.476943068;-43.923119909
172.23.72.184;2022-12-16 12:19:22.032451;-20.476943837;-43.923119499
172.23.72.184;2022-12-16 12:19:52.375671;-20.476943737;-43.923119405
172.23.72.184;2022-12-16 12:20:22.552438;-20.476943161;-43.923119492
172.23.72.184;2023-10-23 10:29:54.433085;-20.472193044;-43.920453488
172.23.72.184;2023-10-23 10:30:25.864431;-20.472802977;-43.921096352
172.23.72.184;2023-10-23 10:31:35.488765;-20.473379595;-43.918974208
172.23.72.184;2023-10-23 10:32:11.091818;-20.473303097;-43.917991796
172.23.72.184;2023-10-23 10:32:46.116844;-20.474446404;-43.917643117
172.23.72.184;2023-10-23 10:33:19.988944;-20.474525180;-43.918588919
172.23.72.184;2023-10-23 10:33:53.109164;-20.474553771;-43.919780763
172.23.72.184;2023-10-23 10:34:27.852727;-20.475570033;-43.919841032
172.23.72.184;2023-10-23 10:35:01.456744;-20.475593397;-43.919831709
172.23.72.184;2023-10-23 10:35:35.751516;-20.475673932;-43.919799991
172.23.72.184;2023-10-23 10:36:10.829460;-20.476021339;-43.919652284
172.23.72.184;2023-10-23 10:36:45.237439;-20.476020255;-43.919653748
172.23.72.184;2023-10-23 10:37:18.168662;-20.476124775;-43.919601549
172.23.72.184;2023-10-23 10:37:52.641389;-20.476909969;-43.919251182
172.23.72.184;2023-10-23 10:38:26.528457;-20.477199835;-43.918962575
172.23.72.184;2023-10-23 10:39:00.373383;-20.477200558;-43.918962984
172.23.72.184;2023-10-23 10:39:34.597668;-20.477201277;-43.918962551
172.23.72.184;2023-10-23 10:40:10.085410;-20.477200687;-43.918962554
172.23.72.184;2023-10-23 10:40:44.785379;-20.477199952;-43.918962720
172.23.72.184;2023-10-23 10:41:18.097867;-20.477199777;-43.918962758
172.23.72.184;2023-10-23 10:41:52.212561;-20.477200112;-43.918962718
172.23.72.184;2023-10-23 10:42:25.815794;-20.477200352;-43.918962657
172.23.72.184;2023-10-23 10:42:59.311258;-20.477200351;-43.918962609
172.23.72.184;2023-10-23 10:43:34.081162;-20.477200133;-43.918962567
172.23.72.184;2023-10-23 10:44:10.535306;-20.477199942;-43.918962491
172.23.72.184;2023-10-23 10:44:43.787467;-20.477240746;-43.918907110
172.23.72.184;2023-10-23 10:45:18.278114;-20.477582149;-43.918641623
172.23.72.184;2023-10-23 10:45:51.577454;-20.476609147;-43.919078301
172.23.72.184;2023-10-23 10:46:26.305562;-20.476212508;-43.918697088
172.23.72.184;2023-10-23 10:47:00.065403;-20.476197812;-43.918717013
172.23.72.184;2023-10-23 10:47:33.715758;-20.476452089;-43.918819702
172.23.72.184;2023-10-23 10:48:10.196370;-20.475084830;-43.919862323
172.23.72.184;2023-10-23 10:48:45.127881;-20.475073722;-43.921074306
172.23.72.184;2023-10-23 10:49:18.449428;-20.475485706;-43.923364301
172.23.72.184;2023-10-23 10:49:51.813420;-20.477033456;-43.923564779
172.23.72.184;2023-10-23 10:50:25.417443;-20.476886972;-43.923018618
172.23.72.184;2023-10-23 10:51:00.311885;-20.476079086;-43.922636071
172.23.72.184;2023-10-23 10:51:33.985407;-20.475918810;-43.922874208
172.23.72.184;2023-10-23 10:54:20.796916;Erro;Erro;
172.23.72.184;2023-10-23 10:54:53.564894;Erro;Erro;
172.23.72.184;2023-10-23 10:55:28.380902;Erro;Erro;
172.23.72.184;2023-10-23 10:56:03.212631;Erro;Erro;
172.23.72.184;2023-10-23 10:56:35.980632;Erro;Erro;
172.23.72.184;2023-10-23 10:57:10.792648;Erro;Erro;
172.23.72.184;2023-10-23 10:57:45.600907;Erro;Erro;
172.23.72.184;2023-10-23 10:58:20.424619;Erro;Erro;
172.23.72.184;2023-10-23 10:58:55.228930;Erro;Erro;
172.23.72.184;2023-10-23 10:59:27.996924;Erro;Erro;
172.23.72.184;2023-10-23 11:00:02.812918;Erro;Erro;
172.23.72.184;2023-10-23 11:00:37.628728;Erro;Erro;
172.23.72.184;2023-10-23 11:01:10.397149;Erro;Erro;
172.23.72.184;2023-10-23 11:01:45.212943;Erro;Erro;
172.23.72.184;2023-10-23 11:02:17.980943;Erro;Erro;
172.23.72.184;2023-10-23 11:02:52.796957;Erro;Erro;
172.23.72.184;2023-10-23 11:03:27.612940;Erro;Erro;
172.23.72.184;2023-10-23 11:04:00.396664;Erro;Erro;
172.23.72.184;2023-10-23 11:04:35.200596;Erro;Erro;
172.23.72.184;2023-10-23 11:05:10.012911;Erro;Erro;
172.23.72.184;2023-10-23 11:05:42.784910;Erro;Erro;
172.23.72.184;2023-10-23 11:06:19.644927;Erro;Erro;
172.23.72.184;2023-10-23 11:06:54.460903;Erro;Erro;
172.23.72.184;2023-10-23 11:07:29.276917;Erro;Erro;
172.23.72.184;2023-10-23 11:08:02.044916;Erro;Erro;
172.23.72.184;2023-10-23 11:08:36.876560;Erro;Erro;
172.23.72.184;2023-10-23 11:09:09.628635;Erro;Erro;
