172.23.72.234;2023-11-20 15:27:52.815879;-20.470501236;-43.920824702
172.23.72.234;2023-11-20 15:28:11.005240;-20.470501338;-43.920824708
172.23.72.234;2023-11-20 15:28:27.198425;-20.470501418;-43.920824711
172.23.72.234;2023-11-20 15:28:46.129576;-20.470501515;-43.920824714
172.23.72.234;2023-11-20 15:29:02.538128;-20.470501608;-43.920824719
172.23.72.234;2023-11-20 15:29:20.748699;-20.470501728;-43.920824723
172.23.72.234;2023-11-20 15:29:36.652749;-20.470501846;-43.920824728
172.23.72.234;2023-11-20 15:29:55.492365;-20.470501998;-43.920824735
172.23.72.234;2023-11-20 15:30:11.557671;-20.470502124;-43.920824740
172.23.72.234;2023-11-20 15:30:30.130555;-20.470502252;-43.920824742
172.23.72.234;2023-11-20 15:30:46.409217;-20.470502340;-43.920824740
172.23.72.234;2023-11-20 15:31:04.782010;-20.470502422;-43.920824747
172.23.72.234;2023-11-20 15:31:20.681008;-20.470502486;-43.920824762
172.23.72.234;2023-11-20 15:31:39.389059;-20.470502561;-43.920824782
172.23.72.234;2023-11-20 15:31:55.782879;-20.470502639;-43.920824799
172.23.72.234;2023-11-20 15:32:13.903132;-20.470502752;-43.920824813
172.23.72.234;2023-11-20 15:32:30.660593;-20.470502880;-43.920824821
172.23.72.234;2023-11-20 15:32:48.935110;-20.470503028;-43.920824832
172.23.72.234;2023-11-20 15:33:05.219658;-20.470503156;-43.920824851
172.23.72.234;2023-11-20 15:33:23.792201;-20.470503283;-43.920824883
172.23.72.234;2023-11-20 15:33:40.117486;-20.470503377;-43.920824914
172.23.72.234;2023-11-20 15:33:58.134765;-20.470503473;-43.920824945
172.23.72.234;2023-11-20 15:34:14.688748;-20.470503566;-43.920824965
172.23.72.234;2023-11-20 15:34:32.604426;-20.470503675;-43.920824977
172.23.72.234;2023-11-20 15:34:49.455719;-20.470503785;-43.920824986
172.23.72.234;2023-11-20 15:35:07.404186;-20.470503908;-43.920824993
172.23.72.234;2023-11-20 15:35:23.879387;-20.470504020;-43.920824998
172.23.72.234;2023-11-20 15:35:42.529615;-20.470504138;-43.920824999
172.23.72.234;2023-11-20 15:35:58.693751;-20.470504236;-43.920824993
172.23.72.234;2023-11-20 15:36:16.804763;-20.470504339;-43.920824979
172.23.72.234;2023-11-20 15:36:33.605311;-20.470504431;-43.920824964
