172.23.72.14;2023-10-23 11:59:26.340856;Erro;Erro;
172.23.72.14;2023-10-23 11:59:59.100767;Erro;Erro;
172.23.72.14;2023-10-23 12:00:33.916744;Erro;Erro;
172.23.72.14;2023-10-23 12:01:08.733171;Erro;Erro;
172.23.72.14;2023-10-23 12:01:41.500958;Erro;Erro;
172.23.72.14;2023-10-23 12:02:18.380587;Erro;Erro;
172.23.72.14;2023-10-23 12:02:53.180904;Erro;Erro;
172.23.72.14;2023-10-23 12:03:25.948889;Erro;Erro;
172.23.72.14;2023-10-23 12:04:00.764891;Erro;Erro;
172.23.72.14;2023-10-23 12:04:33.532849;Erro;Erro;
172.23.72.14;2023-10-23 12:05:08.348777;Erro;Erro;
172.23.72.14;2023-10-23 12:05:43.164947;Erro;Erro;
172.23.72.14;2023-10-23 12:06:20.052583;Erro;Erro;
172.23.72.14;2023-10-23 12:06:52.796918;Erro;Erro;
172.23.72.14;2023-10-23 12:07:25.564900;Erro;Erro;
172.23.72.14;2023-10-23 12:08:00.380680;Erro;Erro;
172.23.72.14;2023-10-23 12:08:35.196628;Erro;Erro;
172.23.72.14;2023-10-23 12:09:07.965160;Erro;Erro;
172.23.72.14;2023-10-23 12:09:42.780958;Erro;Erro;
172.23.72.14;2023-10-23 12:10:19.644928;Erro;Erro;
172.23.72.14;2023-10-23 12:10:52.412900;Erro;Erro;
172.23.72.14;2023-10-23 12:11:27.228900;Erro;Erro;
172.23.72.14;2023-10-23 12:11:59.996881;Erro;Erro;
172.23.72.14;2023-10-23 12:12:34.813067;Erro;Erro;
172.23.72.14;2023-10-23 12:13:07.580994;Erro;Erro;
172.23.72.14;2023-10-23 12:13:42.396936;Erro;Erro;
172.23.72.14;2023-10-23 12:14:19.272644;Erro;Erro;
172.23.72.14;2023-10-23 12:14:52.028746;Erro;Erro;
172.23.72.14;2023-10-23 12:15:26.844867;Erro;Erro;
172.23.72.14;2023-10-23 12:16:01.660903;Erro;Erro;
172.23.72.14;2023-10-23 12:16:34.429998;Erro;Erro;
172.23.72.14;2023-10-23 12:17:09.244943;Erro;Erro;
172.23.72.14;2023-10-23 12:17:44.060946;Erro;Erro;
