172.23.72.194;2022-12-16 11:45:12.824139;Erro;Erro;
172.23.72.194;2022-12-16 11:45:43.552118;Erro;Erro;
172.23.72.194;2022-12-16 11:46:14.264175;Erro;Erro;
172.23.72.194;2022-12-16 11:46:44.996099;Erro;Erro;
172.23.72.194;2022-12-16 11:47:13.672189;Erro;Erro;
172.23.72.194;2022-12-16 11:47:44.392166;Erro;Erro;
172.23.72.194;2022-12-16 11:48:15.104183;Erro;Erro;
172.23.72.194;2022-12-16 11:48:45.820217;Erro;Erro;
172.23.72.194;2022-12-16 11:49:16.536103;Erro;Erro;
172.23.72.194;2022-12-16 11:49:45.208145;Erro;Erro;
172.23.72.194;2022-12-16 11:50:15.932164;Erro;Erro;
172.23.72.194;2022-12-16 11:50:46.648177;Erro;Erro;
172.23.72.194;2022-12-16 11:51:17.372149;Erro;Erro;
172.23.72.194;2022-12-16 11:51:46.064123;Erro;Erro;
172.23.72.194;2022-12-16 11:52:16.760110;Erro;Erro;
172.23.72.194;2022-12-16 11:52:47.480143;Erro;Erro;
172.23.72.194;2022-12-16 11:53:18.208118;Erro;Erro;
172.23.72.194;2022-12-16 11:53:46.872227;Erro;Erro;
172.23.72.194;2022-12-16 11:54:17.604078;Erro;Erro;
172.23.72.194;2022-12-16 11:54:48.328104;Erro;Erro;
172.23.72.194;2022-12-16 11:55:19.048065;Erro;Erro;
172.23.72.194;2022-12-16 11:55:49.752287;Erro;Erro;
172.23.72.194;2022-12-16 11:56:18.436082;Erro;Erro;
172.23.72.194;2022-12-16 11:56:49.160191;Erro;Erro;
172.23.72.194;2022-12-16 11:57:19.872073;Erro;Erro;
172.23.72.194;2022-12-16 11:57:50.596186;Erro;Erro;
172.23.72.194;2022-12-16 11:58:19.256155;Erro;Erro;
172.23.72.194;2022-12-16 11:58:49.976108;Erro;Erro;
172.23.72.194;2022-12-16 11:59:20.696159;Erro;Erro;
172.23.72.194;2022-12-16 11:59:51.432079;Erro;Erro;
172.23.72.194;2022-12-16 12:00:22.136175;Erro;Erro;
172.23.72.194;2022-12-16 12:00:50.824175;Erro;Erro;
172.23.72.194;2022-12-16 12:01:21.540062;Erro;Erro;
172.23.72.194;2022-12-16 12:01:52.248136;Erro;Erro;
172.23.72.194;2022-12-16 12:02:22.968103;Erro;Erro;
172.23.72.194;2022-12-16 12:02:51.644135;Erro;Erro;
172.23.72.194;2022-12-16 12:03:22.376099;Erro;Erro;
172.23.72.194;2022-12-16 12:03:53.080130;Erro;Erro;
172.23.72.194;2022-12-16 12:04:23.816153;Erro;Erro;
172.23.72.194;2022-12-16 12:04:54.520095;Erro;Erro;
172.23.72.194;2022-12-16 12:05:23.200094;Erro;Erro;
172.23.72.194;2022-12-16 12:05:53.928076;Erro;Erro;
172.23.72.194;2022-12-16 12:06:24.640176;Erro;Erro;
172.23.72.194;2022-12-16 12:06:55.352187;Erro;Erro;
172.23.72.194;2022-12-16 12:07:24.028123;Erro;Erro;
172.23.72.194;2022-12-16 12:07:54.760196;Erro;Erro;
